X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.22275315916379,52.1453519915332,15573,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.22355352402876,52.1451857759894,15574,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.22506024837885,52.1448725187668,15575,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.2256712874209,52.144740837274,15576,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.22467919737259,52.1447481573298,15577,,N346,,Watergeven 2026,,niet verwerkt,,,0
6.21924219714815,52.1761816444414,15578,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.21542447562881,51.9984726424744,15579,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.25015975550222,51.9877782670302,15580,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.18989532477966,52.0029607427272,15581,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.24780465056506,51.9896752718982,15582,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.20156766396672,52.1590828450746,15583,,N348,,Watergeven 2026,,niet verwerkt,,,0
6.04328291702982,52.1462491647257,15584,,N789,,Watergeven 2026,,niet verwerkt,,,0
6.04303142448568,52.1465626174667,15585,,N789,,Watergeven 2026,,niet verwerkt,,,0
6.04312819961592,52.1467605036707,15586,,N789,,Watergeven 2026,,niet verwerkt,,,0
6.13915600450404,52.2361619603492,15587,,N790,,Watergeven 2026,,niet verwerkt,,,0
6.13912220997518,52.2362199452664,15588,,N790,,Watergeven 2026,,niet verwerkt,,,0
6.13903414121281,52.2362037382744,15589,,N790,,Watergeven 2026,,niet verwerkt,,,0
5.9615382605457,52.1474655575579,15590,,KUILTJESWEG,,Watergeven 2026,,niet verwerkt,,,0
6.18226398481939,52.2355488672848,15591,,,,Watergeven 2026,,niet verwerkt,,,0
6.125475121018,52.2151601737126,15592,,FLIERTWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12535710382124,52.2151618170966,15593,,FLIERTWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1256145958869,52.2150697875009,15594,,FLIERTWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12256791936739,52.2141475089512,15595,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12248745309686,52.2141294313115,15596,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12239894019929,52.2141097102415,15597,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12270471202729,52.2141672300044,15598,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12230774509269,52.2140998497033,15599,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.10698865964748,52.2420289186809,15600,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.14649519075705,52.224014829997,15601,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.11163970145074,52.2439992239638,15602,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.14610805858888,52.2248138137406,15603,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1884692160243,52.0027358005306,15604,,RIJKSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.24445979955395,52.1426652510399,15605,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.09117449480942,51.9797139950779,15606,,ZEVENAARSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.08761875807186,51.970613645466,15607,,ZEVENAARSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12572865556978,52.0614166460057,15608,,ZUTPHENSESTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12581835577026,52.0614875141237,15609,,ZUTPHENSESTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.06667050462815,52.1942954462242,15610,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.34910019912317,52.1815702349346,15611,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12565751123118,52.2147542560109,15612,,,,Watergeven 2026,,niet verwerkt,,,0
6.12537051486631,52.2147312484188,15613,,,,Watergeven 2026,,niet verwerkt,,,0
